test	text	postcode
DCPS:2976251246	DORCHESTER AVENUE, BEXLEY	 DA5 3AS
DCPS:3458124212	153 ERITH ROAD, ERITH	 DA8 1PJ
DCPS:2309449379	153 ERITH ROAD, ERITH	 DA17 6JB
DCPS:3948556699	DAYS LANE, SIDCUP	 DA15 8ES
DCPS:2798086027	167 MAIN ROAD, SIDCUP, KENT	 DA14 6NR
DCPS:4126501465	AVENUE ROAD, ERITH	 DA8 3EL
DCPS:2058502783	FAIRFORD AVENUE, BEXLEYHEATH, KENT	 DA7 6RA
DCPS:1102646790	2 PARSONAGE LANE, SIDCUP, KENT	 DA14 5EW
DCPS:2575009833	ISLAND SITE, SUTHERLAND AVENUE/YORKLAND AVENUE, WELLING	 DA16 2LL
DCPS:4209159124	WICKHAM STREET, WELLING	 DA16 3JJ
DCPS:3193367224	WROTHAM ROAD, WELLING, KENT	 DA16 1NS
DCPS:2541128460	SHELDON ROAD, BEXLEYHEATH	 DA7 4QE
DCPS:3789878753	WOODSIDE ROAD, BEXLEYHEATH	 DA7 6LP
DCPS:3771050198	1 PARKSIDE CROSS, BARNEHURST, BEXLEYHEATH	 DA7 6NZ
DCPS:2131676997	FARADAY ROAD, WELLING	 DA16 2EN
DCPS:1097546717	WOODSIDE CRESCENT, SIDCUP, KENT	 DA14 6QL
DCPS:3437251115	SIDMOUTH ROAD, WELLING, KENT	 DA7 5SL
DCPS:3312172915	Downham Community Centre, Wesley Halls, 2 Shroffold Road	 BR1 5PE
DCPS:2188173522	ELSA ROAD, WELLING	 DA16 1PB
DCPS:3738606988	DANSON LANE, WELLING, KENT	 DA16 1TA
DCPS:1707095828	SHERWOOD PARK AVENUE, SIDCUP, KENT	 DA15 9BL
DCPS:2076620177	SHERWOOD PARK AVENUE, SIDCUP	 DA15 9JA
DCPS:2669915324	BEXLEY CIVIC OFFICES, 2 WATLING STREET, BEXLEYHEATH, KENT	 DA7 6AS
DCPS:3495715849	Castle Hill Primary School, Halifax Road,  Todmorden	 OL14 5SQ
DCPS:3002886544	Sowood Community Centre, Stainland Road, Sowood, Halifax	 HX4 9HY
DCPS:2848734664	St Luke's Church, Berry Moor Road, Sowerby Bridge, West Yorkshire	 HX6 3RN
DCPS:2442938391	Norwood Green Village Hall, Village Street, Norwood Green, Halifax	 HX3 8QG
DCPS:1700653417	Christ Church Centre,  Leeds Road, Lightcliffe, Halifax	 HX3 8ND
DCPS:4207193988	Christ Church (Hipperholme Site), Brighouse Road, Hipperholme, Halifax	 HX3 8EB
DCPS:4249419228	St Matthews Church, Wakefield Road, Lightcliffe, Halifax	 HX3 8TH
DCPS:2145143881	St Chad's CE Primary School, Upper Green Lane, Brighouse	 HD6 2PA
DCPS:3995772792	Bailiff Bridge Community Centre, Victoria Road, Brighouse	 HD6 4DX
DCPS:1219966230	Mixenden Youth And Community Centre, Clough Lane, Mixenden, Halifax	 HX2 8SH
DCPS:2589605197	St Johns Parish Centre, Pavement Lane, Bradshaw, Halifax	 HX2 9JJ
DCPS:3707676887	The Library at Willesden Green, 95 High Road, London	 NW10 2SF
DCPS:2770085359	Queens Park Community School, Aylestone Avenue, London	 NW6 7BQ
DCPS:2827659524	Stember Hall Scouts Hut, Leighton Gardens, London	 NW10 3PR
DCPS:1150857515	The Refectory, Christ Church With, St Laurence Brondesbury, Christchurch Avenue, London	 NW6 7BG
DCPS:1814633506	Landau House Community Centre, Christchurch Avenue, London	 NW2 4BW
DCPS:2544235131	Braintcroft School, Warren Road, London	 NW2 7LL
DCPS:3746017735	Kingfisher Community Centre, Crest Road, London	 NW2 7LG
DCPS:3612554832	Our Lady of Grace RC Junior School, Dollis Hill Lane, London	 NW2 6HS
DCPS:3735126766	Our Lady of Grace RC Infants School, Dollis Hill Avenue, London	 NW2 6EU
DCPS:1558374983	Christ Embassy, 277 Neasden Lane, London	 NW10 1QJ
DCPS:2762796563	St Catherine's Church, Dudden Hill Lane, London	 NW10 1QB
DCPS:4075984615	Northview School, Northview Crescent, London	 NW10 1RD
DCPS:2733722335	Gladstone Park School, Sherrick Green Road, London	 NW10 1LB
DCPS:3476409572	Hut in Car Park, St Mary's Willesden Parish, Church Centre, Neasden Lane, London	 NW10 2TS
DCPS:1050548920	Pakistan Community Centre, Marley Walk, Off Station Parade, London	 NW2 4PU
DCPS:2470780926	St Mark's Church Hall, All Souls Avenue, London	 NW10 5AL
DCPS:2807343598	Christchurch (Brondesbury) CE School, Willesden Lane, London	 NW6 7TE
DCPS:1553167396	Kilburn Square Housing Co-Op, Kilburn Square Tower, London	 NW6 6PT
DCPS:1745725477	Royal British Legion, West Kilburn, 15 Peel Precinct, London	 NW6 5RE
DCPS:2704151320	Marian Community Centre, Entrance on, Cambridge Road, London	 NW6 5RS
DCPS:3302601048	Mora Primary School, Entrance on, Wootton Road, London	 NW2 6TD
DCPS:1904031445	Anson Primary School, Anson Road, London	 NW2 4AB
DCPS:1464136522	St Gabriel's Hall, 77 Chichele Road, London	 NW2 3AQ
DCPS:1466466353	Watling Gardens Community Centre, Watling Gardens, Shoot Up Hill, London	 NW2 3UB
DCPS:1899060828	Manor School, Okehampton Road, London	 NW10 3NT
DCPS:3746025605	Ark Franklin Academy, Harvist Road, London	 NW6 6HJ
DCPS:2546528468	Salusbury Primary School, Salusbury Road, London	 NW6 6RG
DCPS:1644538520	St Andrew & St Francis CE Primary School, Entrance on, Villiers Road, London	 NW2 5PE
DCPS:3849263046	St Mary Magdalen's RC JM School, Linacre Road, London	 NW2 5BB
DCPS:2636930649	Kings Hall, 155 Harlesden Road, London	 NW10 2BS
DCPS:4049270198	Wykeham Primary School, Aboyne Road, London	 NW10 0EX
DCPS:3507689758	St Margaret Clitherow RC School, Quainton Street, London	 NW10 0BG
DCPS:3670098060	Hut on Crispian Close Car Park, Off Neasden Lane, London	 NW10 1PW
DCPS:2497337983	Preston & Mall Youth & Community Centre, The Mall, Harrow	 HA3 9TX
DCPS:3804960577	Hut in Preston Road Car Park, Between 287-291 Preston Road, Harrow	 HA3 0QQ
DCPS:4173272187	The Parish Hall, Church of The Ascension, The Avenue, Wembley	 HA9 9QL
DCPS:3174983264	Hut Outside 15 Kings Drive, Wembley	 HA9 9HN
DCPS:3496705454	Father O'Callaghan Centre, Hay Lane, London	 NW9 0NG
DCPS:3139567345	Holy Innocents Church Hall, Bacon Lane, London	 NW9 9AF
DCPS:3489628599	Hut Outside Pizza Hut, 497 Kingsbury Road, London	 NW9 9ED
DCPS:2864815232	St Robert Southwell School, Slough Lane, London	 NW9 8YD
DCPS:1406435465	Oliver Goldsmith Primary School, Coniston Gardens, London	 NW9 0BD
DCPS:3055582092	Fryent Primary School, Church Lane, London	 NW9 8JD
DCPS:2720080914	Lindsay Park Baptist Church Hall, The Mall, Harrow	 HA3 9TG
DCPS:2279275402	Claremont High School, The Greenway, Harrow	 HA3 0UH
DCPS:4219471975	Uxendon Manor Primary School, Vista Way, Harrow	 HA3 0UX
DCPS:1762926160	Haridham Temple, Woodcock Hill, Harrow	 HA3 0JH
DCPS:1568799040	Children's Centre, Mount Stewart Infant School, Carlisle Gardens, Harrow	 HA3 0JX
DCPS:2073403913	Hut Opposite 86 Northwick Avenue, Harrow	 HA3 0AT
DCPS:3522729625	St Cuthbert's Church Hall, Carlton Avenue West, Wembley	 HA0 3QY
DCPS:1571218117	Byron Court Primary School, Spencer Road, Wembley	 HA0 3SF
DCPS:3798901931	Sudbury Court Pavilion, East Lane, Wembley	 HA0 3LE
DCPS:2815425562	St George's Church Hall, St Andrew's Avenue, Wembley	 HA0 2QD
DCPS:4147584908	Preston Park Primary School, College Road, Wembley	 HA9 8RJ
DCPS:3738829631	Hut on Pellat Road, Off Preston Road, Wembley	
DCPS:2138463955	Wembley Primary School, East Lane, Wembley	 HA9 7NW
DCPS:3530688878	Wembley Christian Centre, Junction Of Forty Avenue, And Carlton Avenue East, Wembley	 HA9 8LX
DCPS:3495175188	Queensbury Methodist Church Building, Beverley Drive, Edgware	 HA8 5ND
DCPS:3162241561	Hut Outside Former Mecca Club, Burnt Oak Broadway, Edgware	 HA8 5LD
DCPS:3876620442	White Cross Hall, Corner Of Winchester, And Princes Avenues, London	 NW9 9TA
DCPS:1781421655	Roe Green Primary School, Princes Avenue, London	 NW9 9JL
DCPS:1907691943	Kingsbury Library Plus, 522-524 Kingsbury Road, London	 NW9 9HE
DCPS:3588574395	Kingsbury Resource Centre, 364B Stag Lane, London	 NW9 9AE
DCPS:1915342087	Sudbury Methodist Church Hall, Harrow Road, Wembley	 HA0 2LP
DCPS:4124819128	LNER Sports & Social Club, Maybank Avenue, Wembley	 HA0 2TE
DCPS:4159848927	Sudbury Primary School, Entrance on, Perrin Road, Wembley	 HA0 3EY
DCPS:1315895793	St John's Community Centre, Crawford Avenue, Wembley	 HA0 2AF
DCPS:1199338752	Brent Civic Centre, Engineers Way, Wembley	 HA9 0FJ
DCPS:2860456101	St Joseph's Wembley Pastoral Centre, 339 High Road, Wembley	 HA9 6AG
DCPS:1496966111	Hut Between 21 & 23 Mallard Way, At Junction with Alington Crescent, London	 NW9 8JP
DCPS:2979470977	Woodfield School, Glenwood Avenue, London	 NW9 7LY
DCPS:2058504020	Lyon Park Primary School, Vincent Road, Wembley	 HA0 4HH
DCPS:1826489739	Alperton Baptist Church Hall, Between 155 & 157 Ealing Road, Wembley	 HA0 4BY
DCPS:3368320262	Bethel Community Centre, 197 Ealing Road, Wembley	 HA0 4LW
DCPS:1120689245	Abbey Estate Community Centre, Queensbury Road, Wembley	 HA0 1NL
DCPS:1570056576	Chalkhill Primary School, Nursery Unit, Barnhill Road, Wembley	 HA9 9YP
DCPS:2643377731	English Martyrs Church Hall, Chalkhill Road, Wembley	 HA9 9EW
DCPS:1409538305	Church End & Roundwood Unity Centre, 103 Church Road, London	 NW10 9EG
DCPS:2296795057	Leopold Primary School, Hawkshead Road, London	 NW10 9UR
DCPS:4291766089	John Keble CE Primary School, Crownhill Road, London	 NW10 4DR
DCPS:2827009966	Harlesden Primary School, 101-119 Acton Lane, London	 NW10 8UT
DCPS:2207286946	Roundwood Youth Centre, 49 Longstone Avenue, London	 NW10 3UN
DCPS:3571747664	Newman Catholic College, Entrance on, Holland Road, London	 NW10 5AX
DCPS:3779499784	All Souls Church Hall, Station Road, London	 NW10 4UJ
DCPS:4151233069	Furness Primary School, Furness Road, London	 NW10 5YT
DCPS:1758111583	Hazel Road Community Centre, 26 Hazel Road, London	 NW10 5PP
DCPS:1681597442	Princess Frederica CE Primary School, College Road, London	 NW10 5TP
DCPS:3348353360	St Raphael's Children's Centre, Rainborough Close, London	 NW10 0TS
DCPS:2641345293	Mitchell Brook School, Bridge Road, London	 NW10 9BX
DCPS:1033137159	Leopold Gwenneth Rickus, Brentfield Road, London	 NW10 8HE
DCPS:3212658527	Stonebridge Hillside Hub, 6 Hillside, London	 NW10 8BN
DCPS:2670943932	Brentfield Primary School, 41-43 Meadow Garth, London	 NW10 0SL
DCPS:2320335591	The Church Hall, Brentmead Gardens, London	 NW10 7ED
DCPS:3919167880	Sudbury Baptist Church Hall, Station Approach, Wembley	 HA0 2LD
DCPS:2332127774	Hut Outside Amex House, North End Road, Wembley	 HA9 0UU
DCPS:3617639030	Oakington Manor Primary School, Oakington Manor Drive, Wembley	 HA9 6NF
DCPS:2618475347	St Michael's Church Hall, Babington Rise, Wembley	 HA9 6SN
DCPS:1071089105	Elsley Primary School, Tokyngton Avenue, Wembley	 HA9 6HT
DCPS:2996204833	Ealing Road Library, Coronet Parade, Ealing Road, Wembley	 HA0 4BA
DCPS:2530136794	Barham Primary School, Danethorpe Road, Wembley	 HA0 4RQ
DCPS:3422410726	Methodist Church Hall, Ealing Road, Wembley	 HA0 4BN
DCPS:1310179981	St Andrew's Church Hall, Church Lane, London	 NW9 8SX
DCPS:2421888616	Illingworth St Marys Cricket Club, The Ainleys, Alloe Field View, Halifax	 HX2 9ER
DCPS:1283242952	Illingworth Moor Methodist Church, Keighley Road, Illingworth, Halifax	
DCPS:2014660245	St Andrew's Church, Beechwood Road, Holmfield, Halifax	 HX3 9AR
DCPS:1450344035	Wainstalls J & I School, Castle Carr Road, Wainstalls, Halfiax	 HX2 7TE
DCPS:1711502356	St Marys Church, High Street, Luddenden, Halifax	 HX2 6PX
DCPS:1609675556	Luddenden Youth Centre, Kershaw Drive, Luddenden, Halfiax	 HX2 6PD
DCPS:1972731442	Carr Green Primary School, Carr Green Lane, Rastrick, Brighouse	 HD6 3LT
DCPS:2624910307	Luddendenfoot Academy, Burnley Road, Luddendenfoot, Halifax	 HX2 6AU
DCPS:1775995678	Arncliffe Community Centre, Arncliffe Crescent, Rastrick, Brighouse	 HD6 3LQ
DCPS:2783028361	Woodhouse Primary School, Daisy Road, Rastrick, Brighouse	 HD6 3SX
DCPS:2574794993	St. Luke`s Church Hall, Raglan Road, Bromley	
DCPS:2333992449	Nettleton Hall, Baptist Church, Gravel Road, Bromley	
DCPS:3476596849	La Fontaine Academy, Church Lane, Bromley	
DCPS:3963917627	Southborough Lane Baptist Church, Southborough Lane, Bromley	
DCPS:1842947043	Keston Village Hall, Heathfield Road, Keston	
DCPS:1139123297	Red Hill Primary School, Red Hill, Chislehurst	
DCPS:2288728801	Worsley Bridge Primary School, Brackley Road, Beckenham	
DCPS:1104434288	St. George`s Church Hall, 25-27 Albemarle Road, Beckenham	
DCPS:3591757535	Mobile Unit Opposite Edgebury Primary School, Belmont Lane, Chislehurst	
DCPS:3136937370	United Reformed Church Hall, Oakhill Road, Beckenham	
DCPS:2314719063	Pickhurst INFANT School, Pickhurst Lane, West Wickham	
DCPS:1945201191	Victory Social Club, Kechill Gardens, Bromley	
DCPS:3965193255	Hayes Free Church Hall, 111 Pickhurst Lane, Hayes	
DCPS:3234548712	Hayes Village Hall, Hayes Street, Hayes	
DCPS:3270947904	The Assembly Halls, 16-18 Gates Green Road, West Wickham, Kent	
DCPS:3059000987	Coney Hill Baptist Church, Coney Hill Road, West Wickham	
DCPS:1756038842	Azelia Hall, 258 Croydon Road, Beckenham	
DCPS:2107727573	St. Edmunds Church Hall, Village Way, Beckenham	
DCPS:4162715279	Marian Vian Primary School, Shirley Crescent, Elmers End	
DCPS:3336924273	St. John`s Church Hall, 251 Eden Park Avenue, Beckenham	
DCPS:1921695061	St. Mary`s Church Hall, St. Mary`s Avenue, Shortlands	
DCPS:2242318889	St. Peter`s Church Hall, Malmains Way, Beckenham	
DCPS:2865613487	Highfield Junior School, South Hill Road, Shortlands	
DCPS:2557411067	St. Mark`s C.E. Primary School, Aylesbury Road, Bromley	
DCPS:1426220549	St. Francis Church Hall, Ravenswood Avenue, West Wickham	
DCPS:2661895329	The Hawes Down Centre, Hawes Lane, West Wickham	
DCPS:3577924976	Pickhurst JUNIOR Academy, Pickhurst Lane, West Wickham	
DCPS:4126787304	Chislehurst C.E. Primary School, School Road, Chislehurst	
DCPS:1768447778	Emmanuel Church Hall, The Grove, West Wickham	
DCPS:2846325179	Scotts Park Primary School, Orchard Road, Bromley	
DCPS:1724050331	Bullers Wood School, Chislehurst Road, Chislehurst	
DCPS:1394754487	St. Michael`s Hall, Nightingale Lane, Bromley	
DCPS:3333296366	St. George`s Bickley C.E. Primary School, Tylney Road, Bromley	
DCPS:1615822642	St. George`s Church Hall, Bickley Park Road, Bromley	
DCPS:2078431560	23rd Bromley (St.Augustine Scout Hall), Homemead Road, Bromley	
DCPS:3451539774	Valley Primary School, Beckenham Lane, Bromley	
DCPS:1684541654	Christ Church, Highland Road, Bromley	
DCPS:1413587050	Mobile Unit at the Pavilion, Queens Mead Recreation Ground	
DCPS:3294645989	Parish Church Rooms, Church Road, Bromley	
DCPS:2505607603	Bickley Primary School, Nightingale Lane, Bromley	
DCPS:1967895053	St. Mark`s Church Room, Westmoreland Road, Bromley	
DCPS:1117429027	St. Swithun`s Church Hall, Fashoda Road, Bromley	
DCPS:3071551722	The Chislehurst Sports & Country Club, Elmstead Lane, Chislehurst	
DCPS:3093130792	Trinity Bromley United Reformed Church Hall, Freelands Road, Bromley	
DCPS:1986712317	St. Peter & St. Paul Catholic Primary Academy, St. Paul`s Wood Hill,	
DCPS:2164441432	Link Youth Centre, Midfield Way, St. Paul`s Cray	
DCPS:3668268321	Gray`s Farm Primary Academy, Gray`s Farm Road, St. Paul`s Cray	
DCPS:4250459954	Leesons Primary School, Leesons Hill, St. Paul`s Cray	
DCPS:1251343874	Warwick Hall, St. Mary`s C.E. Church, 61 College Road	
DCPS:2284640448	Poverest Adult Education College, Poverest Road, Orpington	
DCPS:3066531047	Odd Fellows Hall, 6A Beaconsfield Road, London	
DCPS:3785128870	Castlecombe Children & Family Centre, Castlecombe Road, London	
DCPS:3822746614	Mottingham Primary School, Ravensworth Road, London	
DCPS:2616249744	Elmstead Baptist Church, Elmstead Lane, Chislehurst	
DCPS:3213396015	Burnt Ash Children & Family Centre, Rangefield Road, Bromley	
DCPS:3752337213	St. Andrew`s Church Hall, 134B Burnt Ash Lane, Bromley	
DCPS:3726667602	Parish C.E. Primary School, London Lane, Bromley	
DCPS:2748214050	Stewart Fleming Primary School, Entrance In Suffield Road, London	
DCPS:2341993767	St. Michael and All Angels Church, Ravenscroft Road, Beckenham	
DCPS:1566322376	Churchfields Primary School, Churchfields Road, Beckenham	
DCPS:4144099394	Balgowan Primary School, Balgowan Road, Beckenham	
DCPS:2952446224	Beckenham Library, 24 Beckenham Road, Beckenham	
DCPS:4027715881	Sydenham Lawn Tennis Club, Springfield Road, Off Lawrie Park Road	
DCPS:1519054269	St. Paul`s Church Hall, Hamlet Road, London	
DCPS:4071446817	Anerley Town Hall, Anerley Road, London	
DCPS:4200033824	Holy Trinity Church Centre, 66 Lennard Road, London	
DCPS:3955098846	Christ Central Church, Green Lane, London	
DCPS:4176480988	Harris Academy, Lennard Road, Beckenham	
DCPS:3895446091	St. John`s C.E. Primary School, Maple Road, London	
DCPS:2711295557	Kenilworth Church Hall, Kenilworth Road, London	
DCPS:1150270558	Melvin Hall, Melvin Road, London	
DCPS:2613825624	Oaklands Primary School, Oaklands Lane, Biggin Hill	
DCPS:2667892432	Biggin Hill Children & Family Centre, Sunningvale Avenue, Biggin Hill	
DCPS:3926025653	St. Mark`s Church Hall, 10 Church Road, Biggin Hill	
DCPS:2858815660	St. Nicholas Church Hall, Leamington Avenue, Orpington	
DCPS:3435972926	Warren Road Primary School, Warren Road, Orpington	
DCPS:1061801303	The Chelsfield Centre, Windsor Drive, Chelsfield	
DCPS:3629305840	Chelsfield Village Hall, Bucks Cross Road, Chelsfield	
DCPS:1733127519	Green Street Green Primary School, Vine Road, Green Street Green	
DCPS:2336584257	Pratts Bottom Village Hall, Norsted Lane, Pratts Bottom	
DCPS:3424033530	St. Paul`s Cray C.E.Primary School, Buttermere Road, St. Paul`s Cray	
DCPS:2102335646	Poverest Coronation Hall, Bridge Road, Orpington, Kent	
DCPS:3274060352	Good Shepherd Primary School, Moorside Road	 BR1 4RP
DCPS:2022918802	Hope Church Downham (Main Hall), 480 Whitefoot Lane	 BR1 5SF
DCPS:2592183478	Kings Church (Main Hall), 20 The Green	 BR1 5LS
DCPS:1710653713	Sedgehill Community Center, 69-85 Sedgehill Road	 SE6 3QN
DCPS:3298797798	Catford Wanderers Sports Club, Beckenham Hill Road	 SE6 2NU
