test	text	postcode
DCPS:4261768698	Cherry Garden Hall (Millpond) Hall, 210A Jamaica Road	SE16 4RT
DCPS:3607583413	TONYREFAIL PRIMARY SCHOOL, MARTINS CRESCENT, TONYREFAIL, PORTH	CF39 8NT
DCPS:3629305840	Chelsfield Village Hall, Bucks Cross Road, Chelsfield	
DCPS:1945617630	Regents Park Community College, Richville Road	
DCPS:3014630636	Communal Hall, Northolt Road, Harrow, (Adjoining Grange Court)	
DCPS:3424033530	St. Paul`s Cray C.E.Primary School, Buttermere Road, St. Paul`s Cray	
DCPS:2992917884	Caravan near the Star & Garter Home, Richmond Hill, Richmond	TW10 6RR
DCPS:1267890298	Dundonald Primary School, Dundonald Road, London	
DCPS:2030700857	Cuddington Pavilion, Cuddington Recreational Ground, Sandringham Road, Worcester Park,, Cuddington Pavilion,	
DCPS:2592183478	Kings Church (Main Hall), 20 The Green	BR1 5LS
DCPS:2464398573	Meon Court (Community Lounge) off Minstead Avenue	
DCPS:3298797798	Catford Wanderers Sports Club, Beckenham Hill Road	SE6 2NU
DCPS:2800867653	Portacabin, Gifford House, 67C St. Helier Avenue, Morden	
DCPS:2631200324	Maiden Lane Community Centre, St Paul's Crescent	NW1 9XZ
DCPS:1732398007	Welsh St. Donats Community Hall, Welsh St. Donats	CF71 7SS
DCPS:2129644018	Knights Temple Grove Primary School, Ballamore Road	BR1 5LW
DCPS:3590650246	New Hedges Village Hall, New Hedges, Tenby	
DCPS:1725252349	St Michael`s Church Hall, 37 Bounds Green Road, London	N22 8HE
DCPS:2122552524	Burton Jubilee Hall, Houghton, Houghton, Milford Haven	SA73 1NP
DCPS:2869669349	Denmark Hill Community Centre, Blanchedowne, Denmark Hill Estate	SE5 8HL
DCPS:3515278471	Perry Hall Primary School, Perry Hall Road, Orpington	
DCPS:2080740566	Orpington Sea Cadets, T S Whirlwind, Park Road, St Mary Cray	
DCPS:2084750131	Mobile Unit, The Car Park, The Common, Leaves Green	
DCPS:3760796943	Peartree URC Hall, Bridge Road	
DCPS:2984998276	Hazelwood Eldon Village Hall, 7 Spinney Way, Cudham	
DCPS:1885415146	Woodmansterne Primary School, Stockport Road, Streatham, London	SW16 5XE
DCPS:2153950174	Cudham C.E. Primary School, Jail Lane, Biggin Hill	
DCPS:2941842179	Wykeham Primary School, Rainsford Way, Hornchurch	
DCPS:2373264725	Clayponds Community Centre, Clayponds Gardens, Ealing	W5 4RQ
DCPS:2129081929	St. Paul`s Church Hall, Crofton Road, Orpington	
DCPS:1970441060	The Barn, Bromley By Bow Centre, Entrance on Bruce Road, London	E3 3BT
DCPS:1191368843	OLD ACTONIANS ASSOCIATION SPORTS CLUB GUNNERSBURY DRIVE W5	
DCPS:1999961990	Darrick Wood Infant School, Lovibonds Avenue, Orpington	
DCPS:3410254163	Tubbenden Primary School, Sandy Bury, Off Tile Farm Road	
DCPS:4089734692	Farnborough Village Hall, High Street, Farnborough	
DCPS:3096688707	All Saints Church Hall, Bark Hart Road, Orpington	
DCPS:2133420372	Hillside Primary School, Dyke Drive, Orpington	
DCPS:3321405979	SIR JAMES HAWKEY HALL, BROOMHILL ROAD, WOODFORD GREEN	IG8 0BG
DCPS:1843586498	Methodist Church Hall, Sevenoaks Road, Orpington	
DCPS:1304619453	The Graham Spicer Institute, 15 Dukes Avenue, New Malden	KT3 4HL
DCPS:2902317557	Christ Church, 165 Charterhouse Road, Orpington	
DCPS:1781698804	St John`s Hill Residents Centre, Peabody Estate, (entrances in St John`s Hill and Eckstein Road)	
DCPS:1604615998	Abbey Community Centre, Belsize Road	NW6 4DJ
DCPS:1308879241	Memorial Hall, 200 Petts Wood Road, Petts Wood	
DCPS:3162727870	St. John`s Church Hall, Lynwood Grove, Orpington	
DCPS:1930206823	Roomfield Baptist Church, Halifax Road, Todmorden	OL14 5BE
DCPS:1615441452	77 Kinnerton Street, London	SW1X 8ED
DCPS:3901791052	LOWER AMHERST ROOM HAVEN GREEN BAPTIST CHURCH CASTLEBAR ROAD EALING	W5 2UP
DCPS:4245686901	Shern Hall Methodist Church, Shern Hall Street, London	E17 9HX
DCPS:3027818863	All Saints Church, The School Room, Savile Road, Elland	HX5 0JF
DCPS:3188597244	Elm Wood Primary School, (Tritton Road Entrance), West Norwood, London	SE27 9RR
DCPS:1546212707	Cedar Court Hotel, Ainley Top, Huddersfield	HD3 3RH
DCPS:3408519984	Oasis Community Hub, Green Lane	
DCPS:2921228869	Greetland Community And Sports Centre, The Main Hall, Rochdale Road, Greetland	HX4 8JG
DCPS:3940994825	West Vale J & I School, Stainland Road, West Vale, Halifax	HX4 8LS
DCPS:1904329044	PENDERYN COMMUNITY HALL, LLWYN ONN, PENDERYN, ABERDARE	CF44 9UX
DCPS:4255292981	Marner Centre, Devas Street, London	E3 3LL
DCPS:1519802291	Christ Church C of E Junior School, Park Road, Sowerby Bridge	
DCPS:2375077348	St Hildas Church, Gibraltar Road, Halifax	HX1 4HE
DCPS:3612317049	New Hope United Reform Church, Warley Road, Highroad Well, Halifax	HX2 0AD
DCPS:1224203973	NSA - New Sandfields Aberavon, formerly known as Dalton Road, Dalton Road, Sandfields, Port Talbot	SA12 6SF
DCPS:1035677831	The Church of the Good Shepherd, Queen Mary’s Avenue, Carshalton, SM5 4NP, The Church	
DCPS:4067283401	Hi Energy Fitness Centre, The Maltings, Maltings Road, Wheatley, Halifax	HX2 0TJ
DCPS:2193658632	South Pavilion, South Vale, Sudbury Hill, Harrow	
DCPS:3950499513	Collage Park Baptist Chapel, Clarendon Rise	SE13 5ES
DCPS:3649408500	Portable Polling Station, Entrance To Priory Park In, Abbeville Road, London, N8	
DCPS:2761995480	Our Lady and St. Phillip Neri Primary School, Mayow Road	SE23 2XG
DCPS:2388796043	Christ Church, United Reform Church, Bellingham Green	SE6 3HQ
DCPS:2371013763	Deptford Park Primary School, Entrance in Evelyn Street	SE8 5RJ
DCPS:3286583404	Mulberry Centre, 15 Amersham Vale	SE14 6LE
DCPS:1354326624	Perry Rise Baptist Church, Perry Rise	SE23 2QL
DCPS:1158389471	St. Michaels C of E School, Champion Crescent	SE26 4HH
DCPS:3249885737	Healthy Lifestyle Centre, Abbotshall Road	SE6 1SQ
DCPS:2216962382	Church Street, London	NW8 8EU
DCPS:2065573756	English Martyrs Catholic Primary School, St Mark Street Entrance, London	E1 8DJ
DCPS:2845024924	Chessington Methodist Church Hall, Church Lane, Chessington	KT9 2DJ
DCPS:2629970105	St. Andrews United Reformed Church, Brockley Road	SE4 2SA
DCPS:1867443324	Edmund Waller Primary School, Waller Road	SE14 5LY
DCPS:1536890156	JOHNSON HALL GREENFORD COMMUNITY CENTRE 170 OLDFIELD LANE SOUTH (ENTRANCE IN WORDSWORTH AVENUE)  GREENFORD	
DCPS:1597844412	Boncath Community Hall, Boncath, Pembrokeshire	
DCPS:3302995394	Haseltine Primary School, Haseltine Road	SE26 5AD
DCPS:4089963812	Booth At Lidl's Car Park, Off Cadoxton Road, Neath	SA10 7AF
DCPS:1203944586	New Cross Road Baptist Church Hall, 466a New Cross Road	SE14 6TJ
DCPS:2283917319	Dinas Powys Infants School, Cardiff Road, Dinas Powys	CF64 4JU
DCPS:2413535672	St. Marys C of E Primary School, Entrance on Romborough Way	SE13 6NX
DCPS:2988699307	Woodpecker Community Centre, Woodpecker Estate,100 Woodpecker Road	SE14 6EU
DCPS:2750291364	John Stainer Community Primary School, St Asaph Road London	SE4 2DY
DCPS:3127628620	Grinling Gibbons School, Clyde Street	SE8 5LW
DCPS:2507072217	Ashmead Primary School, Ashmead Road	SE8 4DX
DCPS:3562796077	Prendergast Vale College (Nursery), Elmira Street	SE13 7BN
DCPS:2625633868	St Giles' Centre, 81 Camberwell Church Street, Camberwell, London	SE5 8RB
DCPS:3469073078	Roseview Lounge, 122 Marsala Road	SE13 7AF
DCPS:3596783271	Village Hall, Primrose Hill, Little Gransden	SG19 3DP
DCPS:2610656083	Picton Community Centre, Freemans Way, Haverfoerdwest, Haverfordwest	
DCPS:3840987143	SNARESBROOK PRIMARY SCHOOL, MEADOW WALK, South Woodford, LONDON	E18 2EN
DCPS:3209891269	Forest Hill Library, Entrance in Thorpewood Avenue	SE23 3HZ
DCPS:3550794268	OLD BANCROFTIANS R F C, BUCKHURST WAY, BUCKHURST HILL	IG9 6HJ
DCPS:3649542371	The Robert Fitzroy Academy,, Entrance on Northway Road,, Croydon,	
DCPS:3403511583	DURDANS PARK PRIMARY SCHOOL (NURSERY) KING GEORGE'S DRIVE SOUTHALL	
DCPS:4244676518	Yr Hen Ysgol, Dinas Cross, Dinas Cross	
DCPS:3365309617	Beddington Park Primary School, Mallinson Road, Beddington, CR0 4UL, Beddington Park	
DCPS:4083057061	Church of Jesus Christ Of, Latter Day Saints, Main Foyer Entrance At, Junction of Heol Y Deri &, Heol Llanishen Fach, Cardiff	
DCPS:2785484835	PANTYGRAIGWEN COMMUNITY CENTRE, PANTYGRAIGWEN ROAD, PONTYPRIDD	CF37 2RR
DCPS:2669833489	Stanford Dingley Clubroom Stanford Dingley Reading	RG7 6LX
DCPS:4279544751	Pinner Methodist Church Hall, Pinner Methodist Church, Love Lane, Pinner, Middlesex	
DCPS:3084527761	Booth At The Playground, The Highlands, Neath Abbey, Neath	SA10 6PD
DCPS:1874872603	St. Alban`s Church Hall, Norwood Drive, North Harrow	
DCPS:1285558004	Stacey Primary School, Stacey Road, Cardiff	
DCPS:1272349029	The Rubicon, Nora Street, Adamsdown, Cardiff	CF24 1ND
DCPS:1729691526	Cwmllynfell Hall, Gwilym Road, Cwmllynfell, Swansea	SA9 2GH
DCPS:3303599705	GEORGETOWN BOYS & GIRLS CLUB, DYNEVOR STREET, GEORGETOWN, MERTHYR TYDFIL	CF47 8AY
DCPS:3270652492	Mountstuart Primary School, (The Nursery), Stuart Street Entrance, Butetown, Cardiff	
DCPS:2488943531	Malmesbury Primary School, Coborn Street, London	E3 2AB
DCPS:2123038284	TAFFS WELL VILLAGE HALL, CARDIFF ROAD, TAFFS WELL	CF15 7PL
DCPS:2219050667	REDBRIDGE PRIMARY SCHOOL, COLLEGE GARDENS, ILFORD	IG4 5HW
DCPS:4159652743	Riverside Community Centre Rosemoor Gardens Newbury	RG14 2FG
DCPS:3519849953	Trelai Youth Centre, Bishopston Road, Cardiff	CF5 5DY
DCPS:2113065398	CHURCH OF THE ASCENSION HALL BEAUFORT ROAD W5	
DCPS:1317332697	Bramley Hill Centre, 27 Bramley, Hill, South Croydon, Surrey	
DCPS:1273660105	Lansdowne Primary School, Surrey St Entrance Only, Cardiff	
DCPS:3746489040	St Martins Church Hall, Queens Square, Haverfordwest, SA61	
DCPS:2116258699	Llanover Hall, (Front Foyer), Romilly Road, Canton, Cardiff	
DCPS:2374687373	GOODMAYES PRIMARY SCHOOL, CASTLETON ROAD, Goodmayes, ILFORD	IG3 9RW
DCPS:1061442152	Forest Cottage Community Centre, Cousin Lane, Illingworth, Halifax	HX2 8AD
DCPS:3845995102	Portacabin, Adjacent To, 111 Broad Street, Cardiff	
DCPS:1224208256	POLISH ROMAN CATHOLIC CHURCH 2 WINDSOR ROAD EALING	W5 5PD
DCPS:2442123142	Mount Tabor Methodist Sunday School, Mount Tabor, Halifax	
DCPS:3001005162	Peckham Rye Children`s Playroom, Peckham Rye Common, Strakers Road	SE15 3UA
DCPS:2688911300	ALL SAINTS CHURCH, GOODMAYES LANE, Goodmayes, ILFORD	IG3 9PB
DCPS:2390955913	Seven Sisters Community Hall, Brynhyfryd Terrace, Seven Sisters, Neath	SA10 9BA
DCPS:2409588494	Spruce Hill Baptist Church Hall, 155 Brookscroft Road, London	E17 4JP
DCPS:1298462053	The New Cardiff Central Library, Meeting Room, Level 2, Mill Lane, Cardiff	CF10 1FL
DCPS:3815106055	ST MARY'S CHURCH HALL 1 THE MOUNT LONDON	W3 9NW
DCPS:3088187413	Portacabin, Tai Penylan, Star Lane, Capel Llanilltern, Cardiff	
DCPS:2623055691	Paxton Primary School, Woodland Road, London	SE19 1PA
DCPS:1059455127	Rockmount Primary School,, Rockmount Road, Upper, Norwood, London	
DCPS:4051441446	All Saints Church Hall, Park Avenue, East Sheen, London	SW14 8RJ
DCPS:2856427766	Portacabin, at junction with Gwern Rhuddi Road, and Hampton Crescent East, Cyncoed, Cardiff	
DCPS:2350195028	Lakeside Primary School, The Nursery Unit, Ontario Way, Cardiff	CF23 6HB
DCPS:1056859636	St Pauls Catholic Church, Cyncoed Road, Cardiff	
DCPS:3389554478	ST PETER'S AND ST PAUL'S CHURCH HALL, CHURCH VIEW, ABERCANAID, MERTHYR TYDFIL	
DCPS:2789436954	Christ Church, Lake Road North, Cardiff	CF23 5NQ
DCPS:1898591018	Midgley Community Room, Midgley Community Centre, 4B Towngate, Midgley, Luddendenfoot	HX2 6UE
DCPS:1486789174	UHOVI, CROWNFORD HOUSE, SWAN STREET, MERTHYR TYDFIL	CF47 8EU
DCPS:3028085098	Mytholmroyd Working Mens Club, Stocks Avenue, Hebden Bridge	HX7 5AS
DCPS:4260224312	Barkisland Cricket Club, Woodfield,  Barkisland, Halifax	HX4 0EA
DCPS:4235112229	Ripponden Parish Community Centre, Old Bank Ripponden, Sowerby Bridge	HX6 4DG
DCPS:2956723056	St John's CE (VA) School, Godly Lane, Rishworth, Sowerby Bridge	HX6 4QR
DCPS:1274405464	Stones Methodist Church, Rochdale Road, Ripponden, Sowerby Bridge	HX6 4LA
DCPS:3413742436	Town Hall, Halifax Road, Todmorden	OL14 5AA
DCPS:3702745552	St Joseph R C J &I School, Wellington Road, Todmorden	OL14 5HP
DCPS:2347383849	Vale Baptist Church, Burnley Road, Cornholme, Todmorden	OL14 8JY
DCPS:1788298835	Ridgeway Evangelical Church, College Gardens, London	E4 6PU
DCPS:3019363879	Youth Room, St Paul`s United Reformed Church, Croham Park Avenue, South Croydon	
DCPS:4180044804	Fielden Centre, Ewood Lane, Todmorden	OL14 7DD
DCPS:2388971189	Whittingham Primary Academy, 340 Higham Hill Road, London	E17 5QX
DCPS:2856693306	St Matthews RC Church Hall, Hallowell Road, Northwood, Middlesex	HA6 1DP
DCPS:4200061093	Fawley Social And Recreational Club North Fawley Wantage	OX12 9NJ
DCPS:2368561008	Sunnybank School Annexe, Saddleworth Road, Greetland	HX4 8LZ
DCPS:3146347639	St Matthew`s C of E School, Langley Road, Surbiton	KT6 6LW
DCPS:3713875843	Dulais Valley Primary Care Centre, Nant-Y-Cafn, Seven Sisters, Neath	SA10 9EY
DCPS:2961565013	Fairlight Christian Centre, Fairlight Road, London	
DCPS:2313025835	Positive Network Centre, Taylor Road, Mitcham	
DCPS:2366802736	Wanderers Rugby Club, Stirling Road, Ely, Cardiff	
DCPS:2393561678	The Aerodrome Primary, Academy, Goodwin Road,, Croydon,	
DCPS:4209479980	Ely Baptist Church Hall, Church on the Roundabout, Archer Road, Ely, Cardiff	
DCPS:2751536634	Garfield Primary School, Garfield Road, London	
DCPS:2840944149	St Francis Community Centre, 202 Grand Avenue, Ely, Cardiff	
DCPS:2403571363	Bowls Pavilion, Plymouthwood Road, Mill Road, Ely, Cardiff	
DCPS:2362492338	Christchurch Fairwater, Pwllmelin Road, Fairwater, Cardiff	CF5 3QB
DCPS:2725974048	PENYRENGLYN PRIMARY SCHOOL, BAGLAN STREET, TREHERBERT, TREORCHY	
DCPS:2968895806	St Peters Church Hall, St Fagans Road, Fairwater, Cardiff	
DCPS:4148097967	Rainbow Nursery, St. Benet's Church Hall, Lupton Street London	NW5 2HY
DCPS:1595835773	Westbourne Primary School Nursery, Anton Crescent, Collingwood Road, Sutton, SM1 2NT, Westbourne Primary	
DCPS:1021093819	Rayners Lane Scout Headquarters, High Worple, Harrow	
DCPS:3243204563	Radisson Blu Edwardian Hotel, New Providence Wharf, 5 Fairmont Avenue, London	E14 9PQ
DCPS:3283072863	St Peter`s Church Crypt, Leigham Court Road, London	SW16 2SD
DCPS:2763055211	Committee Room, Shirley Parish, Hall, 81 Wickham Road, Shirley	
DCPS:2035165709	Croydon Seventh Day Adventist, Church Hall, Selhurst Road, South Norwood	
DCPS:3110936059	The Old Nursery Unit, Ninian Park Primary School, (Old Ysgol Tan yr Eos) Virgil Street, Cardiff	
DCPS:2891974037	The Baptist Church Hall, Cornwall Street , Rutland Street, Cardiff	
DCPS:1917497952	Newbury Judo Club Poplar Place Newbury	RG14 1NA
DCPS:2304419972	Norbury Manor Primary School, Abingdon Road, Norbury, London	
DCPS:4128656696	Monkton Priory Church Hall, Church Terrace, Monkton, Pembroke	SA71 4LW
DCPS:2194192821	The Bethesda Hall, Tyn Y Parc Road, Whitchurch, Cardiff	
DCPS:1025197300	The Pavilion, Llwynfedw Gardens, Heath, Cardiff	
DCPS:2719804997	Scout Headquarters, St Agnes Road, Heath, Cardiff	
DCPS:1844758783	Birnam Wood PRU, R/o Robert Beard Centre, Inskip Drive, Hornchurch	
DCPS:4270505587	Orchard Park Community Centre, Central Avenue, Orchard Park	CB4 2EZ
DCPS:4075332952	St Bernadettes RC School, 160 Long Lane, Hillingdon, Middlesex	UB10 0EH
DCPS:1639855739	Pontprennau Church Community Centre, Pontprennau Road, Pontprennau, Cardiff	
DCPS:1538573087	St Columbas Church Hall, Highroad Well Lane, Halifax	HX2 0QF
DCPS:3657472609	St John`s Church Hall, Springall Street	SE15 2TY
DCPS:3016943022	The Old School, 1 South Road, Sully	CF64 5TG
DCPS:3724917492	TEMPORARY HUT ST AUGUSTINE'S AVENUE W5	
DCPS:2711275796	St Mary's CE J & I School, Mill Bank, Sowerby Bridge	HX6 3EJ
DCPS:1165948290	Whinney Hill Community Centre, Whinney Hill Park, Brighouse	HD6 2NQ
DCPS:1107536602	Fern Hill Primary School Richmond Road, Kingston Upon Thames	KT2 5PE
DCPS:2519749034	Shanklin Community Hall, 25 Rookley Close, Sutton, SM2 6TT, Shanklin Community	
DCPS:2912561080	NEUADD DOWLAIS COMMUNITY CENTRE, CROWN HILL, LLANTWIT FARDRE	CF38 2NA
DCPS:4048311071	Blackshaw Head Methodist Sunday School, Blackshawhead, Hebden Bridge	
DCPS:1947987318	Colden J & I School, Smithy Lane, Heptonstall, Hebden Bridge	HX7 7HW
DCPS:2580613583	The Leas, Elsworth Road, Conington	CB23 4LW
DCPS:1484279014	Portacabin In Car Park, Asda Supermarket, Pontprennau, Cardiff	
DCPS:2654484937	Whitehorse Manor Junior Academy, Whitehorse Road, Thornton Heath, Surrey	
DCPS:3773324832	Noddfa O.A.P. Centre, Dunraven Street, Glyncorrwg	SA13 3AD
DCPS:3969341452	Booth Near To No.6 & No.8 Graig Newydd, Graig Newydd, Godre'rgraig	SA9 2DF
DCPS:1939002571	Walter Sickert Comm`ty Ctre, Canonbury Crescent, London	N1 2FB
DCPS:3358520844	Llandaff Parish Hall, High Street Chapel Street, Llandaff, Cardiff	
DCPS:1760412844	Seventh Day Adventist Church Hall, Shirley Road	
DCPS:1491613869	Pennar Community Hall, Pennar, Pennar, Pembroke Dock	SA72 6NY
DCPS:3872564907	Gabalfa Primary School, Colwill Road, Gabalfa, Cardiff	
DCPS:2121293808	Buttrills Comunity Centre, North Walk, Barry	CF62 8BX
DCPS:4206750759	Portacabin, Silverbirch Close, Whitchurch, Cardiff	
DCPS:2729774691	Aubert Court Community Centre, Avenell Road	N5 1BT
DCPS:1273432690	Welbourne Childrens Centre, Stainby Road, London	N15 4EA
DCPS:3579441937	St Francis Church, Dalgarno Way, London	W10 5EL
DCPS:2237320451	The Court School, Station Road, Llanishen, Cardiff	
DCPS:3960796303	Thornhill Primary School, Heol Hir Hillcrest Close, Thornhill, Cardiff	
DCPS:2409908144	St Faiths Church Hall, Morris Avenue, Llanishen, Cardiff	
DCPS:2658235117	BRYNNA COMMUNITY CENTRE, CHURCH STREET, BRYNNA, PONTYCLUN	CF72 9QP
DCPS:1547791704	St Brigids Church Hall, Crystal Glen, Llanishen, Cardiff	
DCPS:2938952224	BEDLINOG COMMUNITY CENTRE, GARTH TERRACE, BEDLINOG	CF46 6TF
DCPS:1144261001	Ysgol Bro Eirwg, (Welsh School), Ridgeway Road, Llanrumney, Cardiff	
DCPS:2051471800	The Platt Christian Centre, 22 Felsham Road, London	
DCPS:2573707476	Llanrumney Hub (Library)	
DCPS:1128494544	Meeting Room, Methodist Church, High Street, Toft	CB23 2RL
DCPS:1532136759	Highlight Community Centre - Station A, Sterling Road, Barry	CF62 8NX
DCPS:2639277510	Grange Park United Reform Church, Grange Park Road, London	E10 5EP
DCPS:1771323238	The Community Centre, Glyn Coed Junior School, Glyn Coed Road, Cardiff	
DCPS:3497484591	Laycock Pdc, Laycock Street, London	N1 1TH
DCPS:3655221605	St Philip Evans R C Church, Maelfa, Llanedeyrn, Cardiff	CF23 9UL
DCPS:1363737379	Christchurch United Church, Wellwood, Llanedeyrn, Cardiff	
DCPS:2769048881	ASYLUM HAIRDRESSERS, 70 TWYNYRODYN ROAD, MERTHYR TYDFIL	CF47 0PS
DCPS:4220380413	Flying Start Activity Room 1, Bryn Celyn Primary School, Glyn Collen	
DCPS:2103205518	Moorside Youth & Community Centre Urquhart Road Thatcham	RG19 4RE
DCPS:2319010609	St Oswald’s Church, Brocks Drive, North Cheam, SM3 9UW, St Oswald’s	
DCPS:3134419031	Berridge Road Estate Community Resource Centre, 13-17 Bridgetown Close, London	SE19 1JZ
DCPS:2078362680	St Peters Church Hall, St Peters Street, Roath, Cardiff	
DCPS:2260252753	Bethesda Chapel, Fairoaks, Dinas Powys	CF64 4QQ
DCPS:3296337505	St Fagans Village Hall, Crofft Y Genau Road, St Fagans, Cardiff	
DCPS:2684984522	Stanwell Road Baptist Church Schoolroom - Station A,  (adj. to Paget Rooms), Penarth	CF64 3EG
DCPS:2007582684	The Village Hall, Heol Syr Lewis, Morganstown, Cardiff	
DCPS:2192991584	Portable Polling Station, Tudor Close (Off Langdon Park Rd), London, N6	
DCPS:1085971849	Mansel Park Pavilion, Evenlode Road	
DCPS:1926965611	Holy Trinity C of E Junior School, Bute Road, Wallington, SM6 8BZ, Holy Trinity	
DCPS:2741975774	Main Hall Conway Road, Methodist Church Hall, Romilly Crescent Entrance, Canton, Cardiff	
DCPS:3009166119	Severn Primary School, Severn Road, Canton, Cardiff	
DCPS:1422597278	Canton Community Centre, Leckwith Road, Canton, Cardiff	
DCPS:2612117951	Penmark Village Centre, Penmark	CF62 3BP
DCPS:1705434566	TEMPORARY POLLING PLACE JUNCTION OF LEE ROAD/EMPIRE ROAD PERIVALE	
DCPS:3394593147	PENRHIWCEIBER OLD AGE CENTRE, CHURCH STREET, PENRHIWCEIBER, MOUNTAIN ASH	CF45 3SP
DCPS:1024989256	South Riverside Community, Development Centre, Brunel Street, Cardiff	
DCPS:3506451470	St David`s RC College, (Theatre Block), Ty Gwyn Road, Penylan, Cardiff	
DCPS:1749007264	Nelmes United Reformed, Church Hall, Burntwood Avenue, Hornchurch	
DCPS:1121162060	Howardian Community Education Centre, Hammond Way, Cardiff	
DCPS:1254038336	Albany Baptist Church Hall, Albany Road Blenheim Road, Roath, Cardiff	
DCPS:3771951908	Roath Church House, Waterloo Road, Roath, Cardiff	
DCPS:1916523751	St Edwards Church Hall, Westville Road, Blenheim Road, Roath, Cardiff	
DCPS:2795873938	The Nursery, Woodcote Primary School, Dunsfold Rise, Coulsdon	
DCPS:1650261793	Rumney Scouts Hall, off Trelawney Avenuen Barmouth Road, Rumney, Cardiff	
DCPS:2549384593	Rumney Youth and Community Centre, Llanstephan Road, Rumney, Cardiff	CF3 3JA
DCPS:3428936056	Earlswood Social Club, 160-164 Greenway Road, Rumney	CF3 3PN
DCPS:4011736216	Awel - Y - Mor Primary School - Community Room, Ffordd Yr Ysgol, Sandfields, Port Talbot	SA12 6TP
DCPS:4182368653	All Saints Church Hall, Bridle, Road, Shirley, Croydon	
DCPS:1365233206	East Moors Community Centre, Sanquhar Street, Splott, Cardiff	
DCPS:1690102879	Merton Adult College, Whatley Avenue, London	
DCPS:3652044825	St Michael's Parish Hall, 94 Bath Road, Hounslow	TW3 3EH
DCPS:1327782439	Basildon Village Hall Bethesda Street Upper Basildon Reading	RG8 8NU
DCPS:2578003037	Ickenham Guide Hut, Community Close, Ickenham, Middlesex	UB10 8RE
DCPS:2232904782	Belmont Baptist Church Hall, Tweedsmuir Road Taymuir Road, Tremorfa, Cardiff	
DCPS:2687036840	Battersea Chapel, Wye Street, London	
DCPS:1682981667	Willowbrook Primary School, Sandbrook Road, St Mellons, Cardiff	
DCPS:1248635816	Portacabin (outside Oakfield Primary School), Ferntree Drive, St Mellons, Cardiff	CF3 0AA
DCPS:1168482263	St Mellons Community Education Centre, Rear of Tesco Supermarket, Crickhowell Road, St Mellons, Cardiff	
DCPS:2795701016	Portacabin, Westbourne Road Shops, Whitchurch, Cardiff	
DCPS:1232164402	Gaynes School, Brackendale Gardens, Upminster	
DCPS:1056462190	Ingrebourne Children`s Centre, Ashbourne Road, Romford	
DCPS:2862371335	Village Hall, Recreation Ground, New Road, Haslingfield	CB23 1LR
DCPS:2297144081	Skewen R.F.C, Tennant Park, Neath	SA10 6HU
DCPS:1016817771	Ararat Baptist Church, Room 1, Plas Treoda, Whitchurch, Cardiff	CF14 1PT
DCPS:4239844129	Portcabin, located in the side road between 103-105 Heol Gabriel, Whitchurch, Cardiff	
DCPS:1552888426	The Village Hall, Merthyr Road, Tongwynlais, Cardiff	
DCPS:1372715463	Elm Park Baptist Church, Rosewood Avenue, Hornchurch	
DCPS:3842055333	COMMUNITY LIBRARY AT ABERFAN COMMUNITY CENTRE, PANTGLAS ROAD, ABERFAN, MERTHYR TYDFIL	CF48 4QE
DCPS:1020643231	St Andrews Methodist Church Hall, (Tower Entrance), Coronation Road Caerphilly Road, Cardiff	
DCPS:1073145982	Ton Yr Ywen Primary School, Maesycoed Road, Cardiff	
DCPS:1239367882	OAKTREE COMMUNITY CENTRE OSBORNE ROAD	W3 8TY
DCPS:3122285137	Highfields Church, Monthermer Road, Cathays, Cardiff	
DCPS:2311998233	Sojourner Truth Community Centre, Community Centre, 161 Sumner Road	SE15 6LJ
DCPS:3787595876	Portacabin, Prince of Wales Drive, Opposite Its Junction With, Old Mill Drive, Cardiff	
DCPS:3650749433	Portacabin in Car Park, Aldi Supermarket, Pentwyn Road Dartington Drive, Cardiff	
DCPS:2448936500	Tesco Superstore, (Inside Main Entrance), Pengam Green, Tremorfa, Cardiff	
DCPS:2604672763	Meadowlane Primary School, Heol Maes Eirwg, Trowbridge, Cardiff	
DCPS:2665371009	Bayden Scout Hall, Ferry Road	CF11 0XR
DCPS:4143893284	Wellington Day Centre, 292 Staines Road, Hounslow	TW4 5BA
DCPS:2141568773	Calcot Centre Hall High View Calcot Reading	RG31 4XD
DCPS:2462807537	The Corn Exchange High Street Hungerford Berkshire	RG17 0NF
DCPS:3238725732	Church Hall adjacent to St Mark`s, School, Albert Road, South, Norwood, London	
DCPS:1502400853	The Buzz, Penarth Road, Cardiff	CF11 7XW
DCPS:1822759400	Caravan B at Coombe Girls' School, Darley Drive Entrance, New Malden	KT3 3TU
DCPS:3171702973	ST MICHAELS CHURCH HALL, U1001 FROM THE JUNCTION OF THE A487-T TO THE DRIVEWAY TO THE YNYS HIR HOTEL, EGLWYS FACH, CEREDIGION	SY20 8SX
DCPS:4202699880	LLAN FACH, LAYBY OUTSIDE YSGOL GYNRADD LLANCYNFELIN, TALIESIN, CEREDIGION	SY20 8JG
DCPS:2602353237	Castelnau Community Centre, 7 Stillingfleet Road, Barnes, London	SW13 9AQ
DCPS:2639866089	Cedars Manor School, Whittlesea Road, Entrance Opposite Chicheley Road, Harrow Weald	
DCPS:1882437988	MEMORIAL HALL, A487T TALYBONT VILLAGE, TALYBONT, CEREDIGION	SY24 5HE
